Frame_No,ObjID,x1,y1,x2,y2,Class_Name,Confidence,Direction,Aggregate_Count
1,9,386,55,596,139,car,0.26,N/A,0
1,8,1236,251,1438,616,bus,0.34,N/A,0
1,7,375,1,659,111,car,0.43,N/A,0
1,6,994,1,1163,194,car,0.52,N/A,0
1,5,728,65,957,341,truck,0.55,N/A,0
1,4,1248,4,1426,268,car,0.55,N/A,0
1,3,1237,252,1439,618,truck,0.61,N/A,0
1,2,193,123,698,352,car,0.78,N/A,0
1,1,1632,244,1919,512,car,0.83,N/A,0
2,9,386,55,596,139,car,0.26,N/A,0
2,8,1236,251,1438,616,bus,0.34,N/A,0
2,7,375,1,660,111,car,0.43,N/A,0
2,6,994,1,1163,194,car,0.51,N/A,0
2,5,728,65,957,341,truck,0.55,N/A,0
2,4,1248,4,1426,267,car,0.56,N/A,0
2,3,1237,252,1439,618,truck,0.61,N/A,0
2,2,193,123,698,352,car,0.78,N/A,0
2,1,1632,244,1919,512,car,0.83,N/A,0
3,14,1618,773,1871,1075,person,0.36,N/A,0
3,13,947,950,1256,1079,person,0.26,N/A,0
3,12,945,951,1261,1080,motorcycle,0.27,N/A,0
3,11,1740,772,1878,1015,person,0.3,N/A,0
3,10,1702,771,1872,1073,person,0.35,N/A,0
3,8,1236,257,1440,625,bus,0.41,N/A,0
3,7,377,1,662,112,car,0.35,N/A,0
3,6,992,0,1163,194,car,0.48,N/A,0
3,5,728,66,958,342,truck,0.49,N/A,0
3,4,1245,6,1427,279,car,0.47,N/A,0
3,3,1236,257,1440,625,bus,0.41,N/A,0
3,2,192,124,697,353,car,0.79,N/A,0
3,1,1624,226,1917,495,car,0.82,N/A,0
4,8,1236,259,1441,626,bus,0.42,N/A,0
4,7,377,1,662,112,car,0.35,N/A,0
4,6,991,1,1164,194,car,0.48,N/A,0
4,5,727,66,958,341,truck,0.49,N/A,0
4,4,1244,6,1427,282,car,0.47,N/A,0
4,3,1236,258,1440,627,bus,0.42,N/A,0
4,2,192,124,697,353,car,0.79,N/A,0
4,1,1621,224,1917,491,car,0.82,N/A,0
5,8,1235,261,1442,631,truck,0.42,N/A,0
5,7,366,1,660,113,car,0.38,N/A,0
5,6,992,1,1163,193,car,0.48,N/A,0
5,5,727,67,958,342,truck,0.56,N/A,0
5,4,1242,6,1426,288,car,0.54,N/A,0
5,3,1235,261,1442,630,truck,0.42,N/A,0
5,2,196,124,699,353,car,0.81,N/A,0
5,1,1615,218,1916,485,car,0.8,N/A,0
6,11,1744,792,1889,1072,person,0.31,N/A,0
6,8,1235,262,1442,633,bus,0.45,N/A,0
6,7,367,2,661,113,car,0.39,N/A,0
6,6,992,1,1163,193,car,0.48,N/A,0
6,5,727,67,958,342,truck,0.57,N/A,0
6,4,1241,6,1426,291,car,0.55,N/A,0
6,3,1235,262,1442,634,bus,0.45,N/A,0
6,2,195,124,698,353,car,0.81,N/A,0
6,1,1608,212,1915,479,car,0.81,N/A,0
7,11,1742,791,1890,1076,person,0.31,N/A,0
7,8,1234,263,1442,634,bus,0.43,N/A,0
7,7,367,2,662,113,car,0.39,N/A,0
7,6,992,1,1163,193,car,0.48,N/A,0
7,5,727,68,958,342,truck,0.57,N/A,0
7,4,1240,6,1426,292,car,0.56,N/A,0
7,3,1234,262,1442,635,bus,0.43,N/A,0
7,2,195,124,698,353,car,0.82,N/A,0
7,1,1605,210,1916,477,car,0.81,N/A,0
8,14,1617,854,1844,1094,person,0.26,N/A,0
8,11,1762,794,1897,1062,person,0.54,N/A,0
8,8,1234,265,1443,638,bus,0.37,N/A,0
8,7,365,2,659,114,car,0.4,N/A,0
8,6,992,1,1163,192,car,0.43,N/A,0
8,5,726,67,957,342,truck,0.6,N/A,0
8,4,1240,3,1426,288,car,0.5,N/A,0
8,3,1234,265,1443,638,bus,0.37,N/A,0
8,2,194,123,698,352,car,0.81,N/A,0
8,1,1602,200,1915,460,car,0.82,N/A,0
9,14,1619,884,1826,1092,person,0.26,N/A,0
9,11,1770,796,1898,1055,person,0.54,N/A,0
9,8,1233,266,1443,640,bus,0.37,N/A,0
9,7,365,3,657,114,car,0.4,N/A,0
9,6,992,1,1163,192,car,0.43,N/A,0
9,5,725,67,957,342,truck,0.6,N/A,0
9,4,1240,3,1425,286,car,0.5,N/A,0
9,3,1233,266,1443,640,bus,0.37,N/A,0
9,2,194,123,698,352,car,0.81,N/A,0
9,1,1600,197,1915,453,car,0.82,N/A,0
10,11,1782,800,1907,1048,person,0.52,N/A,0
10,8,1232,270,1444,646,bus,0.39,N/A,0
10,7,369,2,659,114,car,0.37,N/A,0
10,6,993,1,1163,192,car,0.46,N/A,0
10,5,725,66,957,342,truck,0.6,N/A,0
10,4,1241,3,1425,285,car,0.51,N/A,0
10,3,1232,270,1444,647,bus,0.39,N/A,0
10,2,192,123,696,350,car,0.75,N/A,0
